week,selected_stocks,gross_return,selected_count,entry_cost,exit_cost,total_cost,net_return,gross_equity,net_equity
2025-05-30,"MSFT, JNJ",0.010303015747456623,2,0.001,0.001,0.002,0.008303015747456623,2.9065529054905097,2.263087537587805
2025-06-06,"TSLA, JNJ",0.05778744651229195,2,0.001,0.001,0.002,0.05578744651229195,3.074515176051689,2.3893394125436194
2025-06-13,"GOOGL, META",-0.022982548814831305,2,0.001,0.001,0.002,-0.024982548814831307,3.0038549809361417,2.329647624034548
2025-06-20,"MSFT, JPM",0.04143584477035023,2,0.001,0.001,0.002,0.039435844770350226,3.128322249638855,2.4215192461055897
2025-06-27,"MSFT, BRK.B",0.002223718642469008,2,0.001,0.001,0.002,0.00022371864246900804,3.1352787581450277,2.4220609851040407
2025-07-04,"MSFT, BRK.B",-0.004932271135475674,2,0.001,0.001,0.002,-0.006932271135475674,3.119814713224559,2.4052706016486423
2025-07-11,"MSFT, BRK.B",0.004521108872237334,2,0.001,0.001,0.002,0.0025211088722373338,3.1339197352042554,2.4113345507025907
2025-07-18,"MSFT, BRK.B",0.014425804261036679,2,0.001,0.001,0.002,0.012425804261036679,3.1791290478741114,2.4412973218374963
2025-07-25,"MSFT, BRK.B",-0.0014771594660435983,2,0.001,0.001,0.002,-0.0034771594660435983,3.1744329673072698,2.4328085417454424
2025-08-01,"BRK.B, MSFT",-0.009842192145292694,2,0.001,0.001,0.002,-0.011842192145292694,3.14318958809068,2.4039987555413833
2025-08-08,"BRK.B, MSFT",0.010886302236539969,2,0.001,0.001,0.002,0.008886302236539969,3.177407299933381,2.42536141505939
2025-08-15,"MSFT, BRK.B",0.0007270859074205438,2,0.001,0.001,0.002,-0.0012729140925794562,3.179717548003298,2.4222741383345627
2025-08-22,"MSFT, AAPL",0.00908306881493448,2,0.001,0.001,0.002,0.007083068814934481,3.208599141303867,2.439431272745023
2025-08-29,"MSFT, JNJ",-0.00797974760526482,2,0.001,0.001,0.002,-0.00997974760526482,3.182995329989793,2.415086364342638
2025-09-05,"JNJ, MSFT",0.014013712777228682,2,0.001,0.001,0.002,0.012013712777228682,3.22760091231553,2.4441005182560516
2025-09-12,"JNJ, GOOGL",0.02365268181723379,2,0.001,0.001,0.002,0.021652681817233788,3.3039423297275428,2.497021849107186
2025-09-19,"GOOGL, JNJ",-0.006067659816375026,2,0.001,0.001,0.002,-0.008067659816375026,3.2838951316178346,2.4768767262745337
2025-09-26,"TSLA, JNJ",0.012845080613156923,2,0.001,0.001,0.002,0.010845080613156923,3.3260770293086197,2.5037386540398336
2025-10-03,"MSFT, BRK.B",-0.015819737639712506,2,0.001,0.001,0.002,-0.017819737639712507,3.2734593633354834,2.459122688106437
2025-10-10,"BRK.B, MSFT",0.005926935182433368,2,0.001,0.001,0.002,0.003926935182433368,3.2928609448043025,2.4687795035082822
2025-10-17,"BRK.B, TSLA",-0.006687179063596116,2,0.001,0.001,0.002,-0.008687179063596116,3.270840994034874,2.44733277389277
2025-10-24,"BRK.B, JPM",0.002980201662289572,2,0.001,0.001,0.002,0.0009802016622895721,3.2805887598023817,2.4497316535459155
2025-10-31,"JNJ, V",-0.013014920703191102,2,0.001,0.001,0.002,-0.015014920703191102,3.2378921572337735,2.4129491270238264
2025-11-07,"V, JNJ",0.01712904132293752,2,0.001,0.001,0.002,0.015129041322937522,3.293354145794246,2.4494547340767157
2025-11-14,"V, AMZN",-0.03291724786164457,2,0.001,0.001,0.002,-0.034917247861644574,3.1849459910809617,2.3639265160010803
2025-11-21,"V, AAPL",0.023403001781641453,2,0.001,0.001,0.002,0.02140300178164145,3.2594832877846613,2.4145216394347204
2025-11-28,"V, GOOGL",-0.003082011176660626,2,0.001,0.001,0.002,-0.005082011176660626,3.2494375238615705,2.4022510134768242
2025-12-05,"BRK.B, V",0.020263732391843314,2,0.001,0.001,0.002,0.018263732391843313,3.3152832562691152,2.446125083124999
2025-12-12,"BRK.B, AAPL",-0.013277790542860601,2,0.001,0.001,0.002,-0.015277790542860601,3.271263619602121,2.408753696463378
2025-12-19,"BRK.B, AAPL",0.003318335595227928,2,0.001,0.001,0.002,0.001318335595227928,3.282118770112421,2.4119292422015626
2025-12-26,"BRK.B, AAPL",0.0015484680455029043,2,0.001,0.001,0.002,-0.00045153195449709575,3.2872010261494853,2.4108401790767227
